gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj
F,1,7098335,432.7821,383.3254,78.52628,78.78384
F,2,7120033,1919.116,1681.78,80.29138,80.46241
F,3,7131115,3718.216,3344.087,81.04365,81.1681
F,4,7135812,5466.639,5051.834,81.43418,81.53068
F,5,7140055,7089.429,6671.779,81.54852,81.62885
F,6,7141666,8570.268,8166.425,81.604,81.67336
F,7,7144768,9890.65,9424.541,81.64261,81.70304
F,8,7146577,11141.58,10572.96,81.73978,81.78937
F,9,7146867,12367.86,11746.7,81.70618,81.74834
F,10,7149543,13525.56,12807.22,81.71558,81.75417
F,11,7152938,14617.2,13744.71,81.98537,82.01464
F,12,7154548,15691.67,14713.06,82.13082,82.15666
F,13,7157847,16747.2,15697.61,82.32649,82.35178
F,14,7156139,17777.51,16666.31,82.30405,82.33271
F,15,7158253,18788.2,17619.53,82.43752,82.4644
F,16,7161532,19787.16,18571.47,82.65928,82.686
F,17,7161166,20778.54,19529.73,82.58759,82.62069
F,18,7162264,21764.94,20496.85,82.6616,82.69639
F,19,7163496,22747.82,21463.76,82.90882,82.94355
F,20,7164020,23728.01,22430.05,82.89081,82.93057
F,21,7166206,24707.01,23392.88,82.95511,83.00024
F,22,7165714,25686.21,24357.77,83.00622,83.05891
F,23,7168507,26667.35,25329.4,83.06406,83.11854
F,24,7169326,27651.84,26304.37,83.2172,83.26859
F,25,7170463,28641.08,27287.23,83.29673,83.34551
F,26,7170053,29635.3,28277.51,83.32829,83.37467
F,27,7171977,30634.68,29273.38,83.38862,83.4333
F,28,7171183,31640.11,30278.65,83.49815,83.54382
F,29,7173317,32651.04,31297.26,83.67441,83.71803
F,30,7173991,33670.21,32330.42,83.78895,83.83412
F,31,7174613,34699.07,33373.58,83.73064,83.78165
F,32,7174328,35739.37,34428.75,83.77598,83.83188
F,33,7175648,36792.67,35503.7,83.94546,84.00048
F,34,7176418,37859.22,36596.89,84.01736,84.07321
F,35,7175978,38941.53,37713.24,84.04746,84.10332
F,36,7176800,40036.59,38847.09,84.0894,84.14759
F,37,7179075,41145.96,39999.72,84.22424,84.28126
F,38,7178083,42272.98,41173.94,84.23233,84.29119
F,39,7179058,43414.04,42373.55,84.22236,84.28257
F,40,7180337,44570.66,43592.01,84.39379,84.448
F,41,7180754,45744.07,44826.73,84.46404,84.51651
F,42,7179590,46933.26,46079.51,84.41108,84.46361
F,43,7181920,48134.51,47346.08,84.57231,84.62167
F,44,7183456,49352.22,48635.92,84.7679,84.81355
F,45,7182868,50586.81,49946.88,84.67612,84.72327
F,46,7184363,51835.27,51275.5,84.72803,84.77412
F,47,7185013,53099.95,52619.14,84.95419,84.9959
F,48,7185198,54385.27,53987.73,84.94616,84.98595
F,49,7185826,55688.24,55370.01,84.9523,84.99185
F,50,7185479,57012.57,56771.99,84.98194,85.01953
F,51,7187061,58356.13,58193.58,84.95427,84.99094
F,52,7188234,59722.73,59641.62,85.16453,85.19384
F,53,7187661,61111.88,61106.35,85.1143,85.14034
F,54,7189317,62520.65,62592.13,85.25052,85.2698
F,55,7189237,63953.0,64105.07,85.32287,85.33635
F,56,7188319,65410.29,65635.18,85.27078,85.27943
F,57,7190406,66884.46,67188.78,85.54036,85.54073
F,58,7190737,68384.36,68757.91,85.49934,85.49694
F,59,7192821,69904.01,70342.81,85.67595,85.67077
F,60,7191546,71455.13,71949.07,85.55606,85.55282
F,61,7192115,73027.82,73575.88,85.50969,85.50927
F,62,7194018,74628.77,75219.89,85.83529,85.83173
F,63,7194642,76259.9,76884.73,85.85445,85.85236
F,64,7194693,77924.13,78575.29,85.84164,85.84073
F,65,7195935,79622.7,80298.06,86.01387,86.01162
F,66,7197226,81359.6,82049.06,86.03635,86.03428
F,67,7195498,83142.28,83829.94,85.89328,85.89187
F,68,7196340,84964.03,85645.48,86.05337,86.0482
F,69,7197939,86831.68,87497.35,86.08531,86.07522
F,70,7197494,88753.95,89397.57,86.10092,86.08427
F,71,7199069,90726.92,91344.29,86.29118,86.26161
F,72,7198780,92764.2,93339.45,86.28436,86.24523
F,73,7199917,94865.54,95386.44,86.37717,86.32736
F,74,7200605,97040.1,97496.58,86.48074,86.42301
F,75,7200688,99292.93,99673.66,86.43928,86.37175
F,76,7201490,101633.7,101935.9,86.50871,86.4322
F,77,7202366,104071.5,104284.4,86.71143,86.62679
F,78,7202309,106624.5,106732.2,86.64941,86.55947
F,79,7203446,109306.5,109295.4,86.76001,86.66507
F,80,7203577,112141.3,111987.7,86.7832,86.68518
F,81,7204335,115151.2,114832.4,86.7989,86.69695
F,82,7204965,118362.7,117849.4,87.04837,86.93964
F,83,7205657,121807.6,121080.8,87.1458,87.02872
F,84,7207058,125520.7,124567.0,87.19319,87.06565
F,85,7207324,129572.0,128336.9,87.25797,87.11875
F,86,7208142,133992.5,132453.4,87.49895,87.34878
F,87,7209506,138842.6,137000.2,87.58575,87.42834
F,88,7209209,144239.0,142026.3,87.54346,87.38315
F,89,7209825,150285.4,147688.1,87.66357,87.50238
F,90,7209379,157146.4,154137.2,87.62001,87.45746
F,91,7211260,165094.3,161546.5,87.94865,87.78798
F,92,7211488,174413.3,170323.7,87.98969,87.82992
F,93,7212394,185646.8,180874.4,88.17893,88.02632
F,94,7213189,199593.4,193912.8,88.1825,88.04056
F,95,7213729,217631.4,210704.7,88.42856,88.30172
F,96,7214680,242346.1,233412.6,88.51549,88.40836
F,97,7215130,279176.4,266539.3,88.62096,88.53288
F,98,7214824,341872.4,321656.4,88.53431,88.46419
F,99,7215914,477420.6,437837.3,88.66727,88.61108
F,100,7217115,1923274.0,1532601.0,88.91325,88.87484
M,1,6767752,356.2361,284.1466,72.37481,72.74278
M,2,6796273,1602.847,1198.62,74.22428,74.49557
M,3,6810846,3222.197,2463.722,75.25354,75.45113
M,4,6819310,4904.683,3878.391,75.69355,75.8381
M,5,6823613,6551.418,5331.466,75.92894,76.03336
M,6,6825662,8128.499,6765.567,76.10738,76.18174
M,7,6829004,9651.224,8171.835,76.23241,76.28391
M,8,6828386,11102.86,9488.644,76.15797,76.19464
M,9,6831289,12531.0,10751.09,76.32673,76.34561
M,10,6834092,13934.43,12055.41,76.37934,76.38644
M,11,6836389,15274.93,13282.65,76.46967,76.46548
M,12,6837379,16571.99,14463.59,76.57277,76.56031
M,13,6841654,17837.73,15658.63,76.76334,76.74637
M,14,6843245,19076.29,16825.22,76.84772,76.83517
M,15,6845643,20294.51,17964.01,77.00726,76.99609
M,16,6847732,21496.19,19093.24,77.11562,77.10588
M,17,6849732,22682.99,20214.33,77.36755,77.36023
M,18,6852279,23857.9,21326.66,77.42513,77.42358
M,19,6855574,25022.8,22423.34,77.62618,77.62864
M,20,6856197,26177.06,23501.73,77.69313,77.70358
M,21,6861736,27327.51,24568.87,77.90485,77.92781
M,22,6862527,28473.47,25636.41,78.10691,78.13963
M,23,6864806,29616.37,26694.45,78.20582,78.25232
M,24,6866832,30757.89,27748.85,78.3569,78.41409
M,25,6867995,31896.17,28801.73,78.41572,78.48179
M,26,6869276,33034.36,29851.44,78.52054,78.59075
M,27,6874109,34173.42,30901.08,78.69548,78.76929
M,28,6875706,35314.79,31950.91,78.90083,78.97729
M,29,6876965,36459.51,32999.11,79.01659,79.09267
M,30,6878875,37609.1,34049.14,79.09491,79.17636
M,31,6879479,38764.82,35105.78,79.24361,79.32326
M,32,6883552,39928.19,36170.03,79.43482,79.51527
M,33,6884824,41097.15,37241.46,79.52578,79.6126
M,34,6886239,42275.32,38321.24,79.7201,79.81061
M,35,6889945,43462.5,39402.37,79.95576,80.05141
M,36,6890506,44657.69,40491.61,80.03034,80.1333
M,37,6891882,45862.38,41596.77,80.14618,80.25401
M,38,6893857,47077.19,42717.87,80.2911,80.4033
M,39,6894253,48302.05,43850.46,80.33763,80.45245
M,40,6898066,49537.54,44994.86,80.61238,80.72864
M,41,6897803,50782.46,46147.0,80.7095,80.82878
M,42,6899195,52038.01,47316.1,80.64449,80.77071
M,43,6901046,53304.93,48496.31,80.86049,80.98065
M,44,6900699,54582.12,49695.64,80.95324,81.06861
M,45,6902621,55873.73,50911.4,80.93922,81.04926
M,46,6905172,57182.13,52143.86,81.21258,81.31455
M,47,6905733,58504.9,53392.06,81.1699,81.27439
M,48,6906993,59841.38,54651.61,81.34689,81.4493
M,49,6907669,61196.6,55933.89,81.41809,81.52146
M,50,6910251,62567.42,57237.02,81.58702,81.68848
M,51,6911083,63957.65,58558.7,81.59508,81.69852
M,52,6913299,65363.46,59900.04,81.75986,81.86348
M,53,6911525,66788.2,61262.89,81.71517,81.82413
M,54,6913883,68230.17,62647.59,81.75286,81.86594
M,55,6914370,69692.43,64051.92,81.88454,82.00383
M,56,6916724,71172.32,65475.94,82.06732,82.19099
M,57,6916792,72675.0,66923.33,82.16373,82.29128
M,58,6917326,74199.19,68389.35,82.12557,82.2602
M,59,6919174,75745.02,69873.3,82.3914,82.52351
M,60,6920258,77315.84,71378.81,82.43253,82.56539
M,61,6919780,78913.35,72908.97,82.33084,82.46752
M,62,6921973,80537.14,74460.66,82.57127,82.70529
M,63,6922674,82191.19,76032.93,82.70029,82.83263
M,64,6923788,83879.48,77628.94,82.68114,82.81576
M,65,6923807,85602.13,79259.11,82.80812,82.94159
M,66,6924523,87363.23,80916.81,82.80006,82.93547
M,67,6925999,89165.44,82607.83,82.92431,83.06172
M,68,6927788,91008.15,84330.31,83.1899,83.32487
M,69,6928682,92900.66,86099.06,83.13884,83.28063
M,70,6927859,94846.93,87905.76,83.22629,83.36741
M,71,6929822,96849.31,89756.68,83.44569,83.58112
M,72,6929837,98912.61,91660.29,83.50947,83.64184
M,73,6932036,101042.9,93621.79,83.62585,83.75581
M,74,6932490,103248.2,95646.59,83.51158,83.64454
M,75,6934106,105535.1,97745.93,83.65654,83.78551
M,76,6934238,107917.7,99924.34,83.91229,84.03373
M,77,6934767,110408.9,102184.4,83.87598,83.99608
M,78,6935314,113023.9,104538.0,83.89396,84.01062
M,79,6936617,115778.9,106999.1,84.04564,84.15263
M,80,6937262,118698.6,109582.6,84.08591,84.18438
M,81,6937663,121803.9,112321.4,84.17922,84.27125
M,82,6939328,125121.4,115227.7,84.29169,84.38003
M,83,6939339,128689.8,118331.1,84.38713,84.47218
M,84,6940913,132561.7,121671.8,84.56253,84.64436
M,85,6941815,136756.7,125291.2,84.55772,84.64008
M,86,6943845,141343.5,129250.9,85.00508,85.07574
M,87,6943571,146401.9,133605.7,84.90842,84.98053
M,88,6943644,152024.2,138460.4,84.98403,85.054
M,89,6946907,158352.9,143899.6,85.17482,85.24214
M,90,6947459,165601.3,150088.9,85.33871,85.40628
M,91,6948512,173989.9,157191.7,85.5491,85.61941
M,92,6949788,183888.7,165510.9,85.75121,85.82794
M,93,6950928,195871.2,175546.5,85.83727,85.92265
M,94,6952574,210823.7,187899.5,86.07708,86.16806
M,95,6952182,230266.6,203683.4,86.04996,86.152
M,96,6953071,257052.0,224907.7,86.21402,86.32386
M,97,6954378,297207.4,255743.3,86.40608,86.52405
M,98,6956188,365424.3,306494.0,86.64326,86.77003
M,99,6956929,511691.7,412577.4,86.77115,86.91302
M,100,6958600,1982300.0,1406783.0,87.19272,87.33625
