cz,czname,pop2000,fips,statename,stateabbrv,cur_smoke_q1,bmi_obese_q1,exercise_any_q1,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate
100,Johnson City,576081.0,47,Tennessee,TN,0.3512084,0.2924748,0.54650271,15.99971,10121.918,1.020608,0.1652021,0.1136509,0.1322168,0.0348657,0.0301532,0.0382395,0.0903837,0.33345,0.14045,0.13459,0.54796,-0.2978583,51.44033,2.084082,0.9285153,0.0520797
200,Morristown,227816.0,47,Tennessee,TN,0.4197531,0.3026316,0.50617284,19.50662,10228.286,0.8969633,0.1622799,0.110258,0.1336717,0.0262809,0.0278582,0.0253348,0.093153,0.32828,0.1461972,0.10631,0.5375,-0.76735477,54.38951,1.977912,2.348825,0.0597924
301,Middlesborough,66708.0,47,Tennessee,TN,0.3641026,0.3208556,0.47530866,17.74554,12756.419,0.7123566,0.1853032,0.1009329,0.1193666,0.0240811,0.0146831,0.0258143,0.0642501,0.33404,0.270661,0.10691,0.46685,-1.2702513,66.78059,1.464592,0.616118,0.0680831
302,Knoxville,727600.0,47,Tennessee,TN,0.3241252,0.259366,0.58113205,14.88756,9913.4986,0.283885,0.1509697,0.1089805,0.1243237,0.0921036,0.0842674,0.1019656,0.2099943,0.35752,0.1300672,0.1508,0.5041,-0.22188462,60.1953,5.636476,1.167125,0.0398584
401,Winston-Salem,493180.0,37,North Carolina,NC,0.3234228,0.2856049,0.6066066,19.02583,9635.7908,0.506144,0.1670631,0.1022146,0.1253956,0.0718667,0.0610806,0.0806255,0.262388,0.34636,0.1080807,0.11917,0.49991,-0.01779596,48.79375,17.3531,5.798897,0.0507583
402,Martinsville,92753.0,51,Virginia,VA,0.3173653,0.2704403,0.58083832,20.51692,8085.0651,1.660041,0.1675077,0.1167683,0.1473949,0.0237311,0.0153754,0.0282695,0.1365256,0.33768,0.132409,0.1068,0.53839,-0.90281513,45.44327,22.38095,2.935754,0.0605013
500,Greensboro,1055133.0,37,North Carolina,NC,0.2941333,0.2923681,0.58686614,19.7013,8412.7218,0.7173082,0.1629981,0.1054583,0.1319751,0.0676532,0.0575889,0.076798,0.220065,0.3413,0.1117546,0.18228,0.51009,-0.51318038,43.3969,21.75593,4.060341,0.0567848
601,North Wilkesboro,90016.0,37,North Carolina,NC,0.2670565,0.3002028,0.58171207,22.05963,9252.8978,0.0195327,0.1485884,0.0998839,0.126242,0.0118961,0.008602,0.0124235,0.1140964,0.31958,0.1228724,0.12645,0.56018,-0.19309309,56.13891,3.192766,3.168325,0.0663624
602,Galax,64676.0,51,Virginia,VA,0.3333333,0.3666667,0.5,21.84721,9194.9876,1.508458,0.1759501,0.1183324,0.1350081,0.0054097,0.0041657,0.0056613,0.1311975,0.26915,0.1420254,0.08706,0.60842,-0.80119036,43.0175,2.895974,3.158822,0.0727314
700,Spartanburg,354533.0,45,South Carolina,SC,0.316156,0.3071377,0.56412101,21.73069,9127.5718,0.688978,0.1631822,0.111126,0.1257871,0.0451206,0.0441604,0.0451741,0.1394965,0.34069,0.1257592,0.13061,0.5285,-1.0008878,59.60855,20.74983,2.516832,0.0584848
800,Gastonia,413331.0,37,North Carolina,NC,0.2908054,0.2933233,0.58088237,19.45946,9649.2219,0.1897971,0.1611909,0.1011863,0.120936,0.0380789,0.0344144,0.0414662,0.1336746,0.31426,0.1161881,0.1008,0.54393,-0.65939772,60.12372,13.77782,2.889694,0.0788723
900,Charlotte,1423942.0,37,North Carolina,NC,0.2645408,0.2999733,0.61026871,18.69895,8973.7286,0.1978452,0.1532993,0.1059961,0.1226606,0.0983462,0.0784217,0.1196608,0.2233193,0.36011,0.0964086,0.15613,0.47738,-0.48383137,49.59942,22.73302,4.943881,0.0494205
1001,Boone,77361.0,37,North Carolina,NC,0.3,0.248227,0.7525773,20.4398,9237.569,-0.1908319,0.1346123,0.103758,0.1266037,0.0307025,0.0276064,0.03075,0.0764024,0.34435,0.1839939,0.14276,0.53016,0.01234278,48.84502,2.185856,1.53178,0.0482022
1002,Morganton,164760.0,37,North Carolina,NC,0.2885376,0.2809917,0.62252963,20.22225,8456.8706,1.154742,0.1769148,0.1207072,0.121202,0.0123042,0.0106982,0.0106045,0.1165366,0.27304,0.1178257,0.07776,0.60328,-0.23112977,56.87727,4.73598,3.145788,0.0737259
1100,Hickory,375363.0,37,North Carolina,NC,0.2717105,0.2892562,0.60828876,19.31991,9096.3413,0.507348,0.1620339,0.0965466,0.1343497,0.0375131,0.0287709,0.0418441,0.1340848,0.31654,0.0905953,0.11834,0.56804,-0.23540835,57.75316,9.086671,3.952441,0.0622465
1201,Franklin,44861.0,37,North Carolina,NC,0.2876712,0.3142857,0.56164384,25.71206,8046.6251,1.518975,0.1587519,0.12363,0.1432849,0.0106465,0.009373,0.011197,0.044338,0.3105,0.1211513,0.20552,0.56475,-0.23370455,61.33167,1.04991,2.534496,0.0438462
1202,Sylva,54082.0,37,North Carolina,NC,0.3100437,0.2828508,0.63377196,25.34676,8158.446,-0.2807233,0.1582537,0.0942593,0.1149214,0.016147,0.0196048,0.0142585,0.3260307,0.31979,0.1659851,0.08421,0.52059,-1.0006839,40.91195,1.434858,1.531008,0.058164
1203,Asheville,398505.0,37,North Carolina,NC,0.3249551,0.258406,0.64526182,20.74022,8113.1971,-0.2608798,0.1464218,0.1090154,0.1108566,0.0357234,0.0340073,0.0366499,0.1681984,0.33097,0.1110536,0.13046,0.54513,0.05522191,57.71922,5.033312,2.995445,0.0463361
1204,Andrews,59681.0,37,North Carolina,NC,0.3333333,0.2428571,0.6111111,23.40525,8262.5763,1.42366,0.1642313,0.1247138,0.1352774,0.0077435,0.0074222,0.0072737,0.050597,0.28912,0.1340711,0.55821,0.51937,-0.99930048,54.91027,0.9349709,0.9986427,0.0579221
1301,Bennettsville,71586.0,45,South Carolina,SC,0.3087248,0.3265306,0.52466369,22.06901,9495.0193,-0.4708924,0.1514734,0.0879985,0.1198114,0.009886,0.0083398,0.0072418,0.0765086,0.32734,0.2086626,0.12783,0.43947,-2.4401389,48.98584,39.95614,1.642779,0.0828626
1302,Florence,548986.0,45,South Carolina,SC,0.2836148,0.3232258,0.60627627,22.76619,9636.5557,0.2309876,0.1573766,0.0978484,0.1280929,0.0467402,0.0536623,0.0426535,0.2013288,0.41499,0.1704115,0.13675,0.42169,-1.9584137,43.57106,34.07701,1.723723,0.0638828
1400,Fayetteville,644101.0,37,North Carolina,NC,0.3044903,0.3633889,0.57923311,20.12574,9395.6465,-0.4753866,0.1449699,0.0864868,0.1258902,0.0519758,0.0525659,0.0477869,0.1732933,0.3479,0.1586815,0.1149,0.49408,-2.2102322,37.74454,29.85355,5.720842,0.0714458
1500,Wilmington,361559.0,37,North Carolina,NC,0.3081617,0.3023622,0.63473523,19.84394,9325.1102,0.4875348,0.1526232,0.1087433,0.1295974,0.0638425,0.0596992,0.069344,0.1547628,0.39727,0.1518868,0.12594,0.46309,-1.2280171,43.39928,21.03861,2.54426,0.059588
1600,Rocky Mount,216840.0,37,North Carolina,NC,0.2457627,0.3898734,0.58980584,19.53864,9004.9749,1.245019,0.1668092,0.1003189,0.1501258,0.0531913,0.0495037,0.0556411,0.1694319,0.40147,0.1673181,0.11255,0.44348,-1.395195,39.8123,41.58873,4.127468,0.0724124
