gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
F,2001,40,2684874,3156,3537,2322098
F,2002,40,2677147,3106,3448,2291233
F,2003,40,2658858,3116,3476,2285662
F,2004,40,2633100,2983,3375,2287941
F,2005,40,2512057,2861,3157,2244129
F,2006,40,2434811,2690,2953,2102820
F,2007,40,2411121,2665,2900,2050266
F,2008,40,2432731,2548,2795,2043855
F,2009,40,2492184,2632,2858,2081313
F,2010,40,2579753,2647,2712,2192025
F,2011,40,2515603,2479,2821,2175750
F,2012,40,2398659,2377,2654,2055091
F,2013,40,2326129,2333,2596,1968259
F,2014,40,2340978,2443,2530,1940627
F,2001,41,2696330,3485,3731,2358452
F,2002,41,2681718,3461,3847,2326545
F,2003,41,2674041,3370,3768,2296230
F,2004,41,2655742,3291,3575,2291770
F,2005,41,2630117,3187,3600,2295371
F,2006,41,2509196,2942,3436,2252637
F,2007,41,2432121,2922,3149,2111306
F,2008,41,2408456,2924,3099,2058913
F,2009,41,2430183,2781,3047,2052619
F,2010,41,2489552,2753,2911,2067167
F,2011,41,2577106,2874,2960,2197115
F,2012,41,2513124,2773,3036,2177317
F,2013,41,2396282,2661,2890,2056391
F,2014,41,2323796,2664,2930,1977497
F,2001,42,2666132,3597,3970,2276695
F,2002,42,2692845,3725,4154,2360011
F,2003,42,2678257,3703,4167,2326876
F,2004,42,2670671,3532,4037,2296066
F,2005,42,2652451,3597,4039,2291530
F,2006,42,2626930,3620,3957,2294736
F,2007,42,2506254,3178,3540,2251520
F,2008,42,2429199,3148,3433,2109888
F,2009,42,2405532,3106,3302,2056603
F,2010,42,2427402,2967,3107,2047451
F,2011,42,2486799,3031,3327,2088504
F,2012,42,2574232,3148,3295,2198171
F,2013,42,2510351,3061,3337,2177715
F,2014,42,2393621,2912,3306,2064604
F,2001,43,2634214,3843,4420,2281350
F,2002,43,2662535,4066,4571,2279943
F,2003,43,2689120,4079,4444,2363514
F,2004,43,2674554,4055,4497,2331007
F,2005,43,2667139,4048,4487,2301346
F,2006,43,2648854,3964,4400,2297856
F,2007,43,2623310,3775,4159,2301759
F,2008,43,2503076,3550,3983,2259139
F,2009,43,2426051,3377,3770,2117558
F,2010,43,2402426,3169,3491,2069115
F,2011,43,2424435,3341,3531,2049430
F,2012,43,2483768,3303,3508,2089016
F,2013,43,2571084,3400,3622,2197973
F,2014,43,2507290,3425,3658,2184835
F,2001,44,2655356,4303,4684,2262324
F,2002,44,2630371,4398,4806,2278277
F,2003,44,2658469,4355,4857,2274320
F,2004,44,2685041,4374,4742,2355630
F,2005,44,2670499,4333,4784,2321347
F,2006,44,2663091,4268,4779,2290114
F,2007,44,2644890,4227,4627,2284312
F,2008,44,2619535,4281,4614,2286129
F,2009,44,2499526,3911,4404,2241348
F,2010,44,2422674,3678,3980,2121229
F,2011,44,2399257,3596,3914,2060687
F,2012,44,2421094,3535,3736,2049632
F,2013,44,2480465,3555,3779,2088590
F,2014,44,2567684,3746,4054,2204527
F,2001,45,2600647,4601,4940,2180011
