gnd,pctile,year,count,hh_inc,le_agg,le_raceadj
F,1,2001,398740,499.1094,79.68207,79.89346
F,1,2002,411159,541.3069,79.18359,79.41062
F,1,2003,420298,529.1391,79.36441,79.57217
F,1,2004,427728,499.2995,79.89841,80.09248
F,1,2005,433665,474.1454,80.2836,80.46593
F,1,2006,438605,446.6483,79.51385,79.70161
F,1,2007,442887,441.6107,79.67442,79.85167
F,1,2008,448004,449.4591,79.22314,79.41482
F,1,2009,458014,171.33,74.22916,74.53416
F,1,2010,458386,402.8632,78.91873,79.12497
F,1,2011,457070,434.7364,79.55031,79.73189
F,1,2012,457885,452.1725,78.56763,78.75976
F,1,2013,455050,411.0872,79.29933,79.46487
F,1,2014,438263,327.1088,79.67635,79.82413
F,2,2001,399174,2063.011,80.96684,81.12506
F,2,2002,411937,2215.85,80.95918,81.1179
F,2,2003,420922,2180.088,80.25043,80.40862
F,2,2004,428453,2102.182,81.40462,81.53767
F,2,2005,434236,2003.293,81.22125,81.35191
F,2,2006,439182,1889.0,80.7839,80.92012
F,2,2007,443493,1895.38,81.59679,81.71525
F,2,2008,448766,1932.037,80.9407,81.07443
F,2,2009,459084,1386.146,79.76273,79.92491
F,2,2010,459267,1858.431,79.94894,80.11848
F,2,2011,457634,1998.621,81.53777,81.66377
F,2,2012,458241,2077.615,80.70934,80.84451
F,2,2013,455623,1892.213,80.89028,81.00986
F,2,2014,438723,1517.914,80.5501,80.67422
F,3,2001,399396,3938.145,81.22656,81.35473
F,3,2002,412281,4176.957,80.76946,80.90334
F,3,2003,421320,4116.148,81.35426,81.47151
F,3,2004,428784,3988.393,82.62769,82.72208
F,3,2005,434493,3847.275,81.71994,81.82035
F,3,2006,439698,3663.251,82.63488,82.72135
F,3,2007,444042,3690.964,82.41955,82.50514
F,3,2008,449091,3735.434,80.93546,81.05066
F,3,2009,459745,3159.727,81.15202,81.27046
F,3,2010,459535,3613.195,82.01933,82.12991
F,3,2011,457977,3870.443,81.99097,82.09203
F,3,2012,458365,3971.393,81.62873,81.72647
F,3,2013,455966,3697.619,81.09727,81.20383
F,3,2014,439130,3070.876,81.81469,81.89437
F,4,2001,399612,5805.743,80.93533,81.0498
F,4,2002,412463,6094.161,81.16295,81.26837
F,4,2003,421507,6002.213,81.92408,82.01509
F,4,2004,429073,5827.97,80.5575,80.66587
F,4,2005,434703,5662.791,82.2038,82.27911
F,4,2006,439880,5443.537,83.07969,83.14056
F,4,2007,444126,5480.846,82.36086,82.43063
F,4,2008,449360,5525.374,82.48933,82.56116
F,4,2009,459965,4886.12,81.76939,81.86095
F,4,2010,459789,5297.612,81.90097,82.00013
F,4,2011,458156,5614.24,82.4782,82.5563
F,4,2012,458476,5729.515,81.56217,81.65226
F,4,2013,456188,5417.929,82.2866,82.35741
F,4,2014,439180,4678.476,81.96638,82.03553
F,5,2001,399911,7560.236,81.29407,81.39002
F,5,2002,412534,7867.744,82.2678,82.3421
F,5,2003,421835,7753.258,81.66467,81.7456
F,5,2004,429350,7552.682,81.70566,81.78139
F,5,2005,434841,7367.729,82.57187,82.62888
F,5,2006,440001,7136.68,82.67005,82.72448
F,5,2007,444426,7174.844,82.97253,83.02023
F,5,2008,449525,7215.217,82.30648,82.37139
F,5,2009,460129,6555.519,81.53099,81.61815
F,5,2010,459877,6896.169,82.51781,82.59889
F,5,2011,458190,7156.883,82.70506,82.77383
F,5,2012,458525,7265.435,82.06905,82.13652
F,5,2013,456283,6929.745,81.77351,81.84149
F,5,2014,439437,6177.652,82.72836,82.7722
F,6,2001,399878,9163.891,81.88322,81.95913
F,6,2002,412911,9462.389,82.17104,82.23564
F,6,2003,421831,9326.67,81.75404,81.82395
F,6,2004,429422,9105.673,82.35655,82.41308
F,6,2005,435041,8907.508,82.56493,82.61298
F,6,2006,440213,8688.015,82.45564,82.50671
F,6,2007,444660,8710.87,82.81404,82.85649
F,6,2008,449718,8739.714,81.96886,82.03719
F,6,2009,460270,8114.007,81.00275,81.09766
F,6,2010,460192,8381.735,82.49703,82.5677
F,6,2011,458403,8549.803,82.36974,82.43696
