st,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
1,Alabama,AL,82.22806,75.37608,3419114,2862389
2,Alaska,AK,82.34895,76.63939,287869,339042
4,Arizona,AZ,82.15131,77.00763,3281760,3288830
5,Arkansas,AR,81.31077,75.7637,2070245,1882283
6,California,CA,82.94646,78.73162,20215088,20578421
8,Colorado,CO,82.38782,77.59934,2259475,2328427
9,Connecticut,CT,82.56622,77.37821,1434310,1368737
10,Delaware,DE,81.68574,75.66727,449706,404807
11,District Of Columbia,DC,81.95927,76.54684,334980,362550
12,Florida,FL,82.85593,77.18788,13398561,12807322
13,Georgia,GA,82.42392,76.14535,6031611,5183943
15,Hawaii,HI,80.95252,76.63914,707725,706804
16,Idaho,ID,82.7281,78.33078,835679,815117
17,Illinois,IL,81.89565,76.86943,6366139,5880948
18,Indiana,IN,80.85909,74.68581,3465109,3061136
19,Iowa,IA,81.93179,76.56285,1464696,1418773
20,Kansas,KS,81.07314,75.77605,1370883,1305295
21,Kentucky,KY,81.4158,75.54086,2773567,2605410
22,Louisiana,LA,82.18156,76.07173,3348817,2698569
23,Maine,ME,83.19597,77.70413,890641,842562
24,Maryland,MD,81.92297,76.57346,2607733,2395549
25,Massachusetts,MA,83.06703,77.94064,2837249,2699548
26,Michigan,MI,81.03877,75.54076,5610699,4906198
27,Minnesota,MN,82.60098,77.6096,2116131,2158814
28,Mississippi,MS,82.3923,76.10467,2322871,1948927
29,Missouri,MO,81.41933,75.85168,3554005,3271700
30,Montana,MT,82.75281,78.44444,676666,652990
31,Nebraska,NE,82.30776,76.96005,859630,862391
32,Nevada,NV,80.16355,75.36532,1396072,1557991
33,New Hampshire,NH,82.37695,76.96324,624192,599989
34,New Jersey,NJ,82.62794,77.39732,4096902,3849772
35,New Mexico,NM,81.37305,76.07954,1424728,1315534
36,New York,NY,83.1782,78.45039,11425079,10869961
37,North Carolina,NC,82.45666,76.26369,5909312,5179780
38,North Dakota,ND,83.01955,77.21317,324122,322187
39,Ohio,OH,81.40862,75.57574,6747499,6093828
40,Oklahoma,OK,80.4494,75.28735,2395377,2159008
41,Oregon,OR,82.58241,77.87559,2182447,2129320
42,Pennsylvania,PA,82.04772,76.0668,6786670,6288464
44,Rhode Island,RI,82.91954,77.07402,561775,513240
45,South Carolina,SC,82.53996,75.84464,3312897,2768800
46,South Dakota,SD,82.28853,77.62394,427547,435108
47,Tennessee,TN,81.74355,75.43765,4234824,3902261
48,Texas,TX,81.2933,76.18479,14634030,13428559
49,Utah,UT,82.77277,77.51487,931321,900184
50,Vermont,VT,83.15334,78.20271,374157,375258
51,Virginia,VA,82.35246,76.49122,4054578,3595838
53,Washington,WA,82.35494,77.70888,3064660,2970922
54,West Virginia,WV,81.63378,76.00098,1315018,1242694
55,Wisconsin,WI,81.83704,76.52392,2603662,2528110
56,Wyoming,WY,81.17381,76.02828,291527,281090
