st,statename,stateabbrv,year,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
1,Alabama,AL,2001,81.73687,74.85247,194089,165515
1,Alabama,AL,2002,82.29413,74.57912,204031,172638
1,Alabama,AL,2003,81.44639,76.4386,207635,174545
1,Alabama,AL,2004,83.54853,74.74963,209570,175617
1,Alabama,AL,2005,82.79951,75.53976,209463,174581
1,Alabama,AL,2006,84.08262,76.07038,212145,176862
1,Alabama,AL,2007,84.08828,75.50362,214855,178491
1,Alabama,AL,2008,83.73382,75.85545,216883,179441
1,Alabama,AL,2009,82.345,74.94183,223153,185501
1,Alabama,AL,2010,84.25678,75.28465,217680,181890
1,Alabama,AL,2011,84.01485,76.48452,214768,179891
1,Alabama,AL,2012,83.65572,76.03457,212421,177669
1,Alabama,AL,2013,83.3256,75.94003,211866,182139
1,Alabama,AL,2014,83.6084,76.56824,202399,173448
2,Alaska,AK,2001,85.84044,78.80679,16152,19190
2,Alaska,AK,2002,86.53541,78.90601,17259,20386
2,Alaska,AK,2003,84.1007,77.27293,17788,20595
2,Alaska,AK,2004,83.79053,77.45926,18455,21286
2,Alaska,AK,2005,83.9784,76.74271,18692,21314
2,Alaska,AK,2006,85.02107,77.52149,19048,21820
2,Alaska,AK,2007,85.07096,78.01688,18954,21787
2,Alaska,AK,2008,84.11621,78.41936,18804,21684
2,Alaska,AK,2009,83.88361,77.77343,19172,22054
2,Alaska,AK,2010,87.04493,79.01947,17073,20184
2,Alaska,AK,2011,80.96474,75.46004,18387,21569
2,Alaska,AK,2012,80.2487,76.29663,17621,20993
2,Alaska,AK,2013,83.03313,75.60663,19098,23933
2,Alaska,AK,2014,83.84232,78.01105,19161,23307
4,Arizona,AZ,2001,82.66893,77.45177,170293,173229
4,Arizona,AZ,2002,82.86824,78.1405,178174,179688
4,Arizona,AZ,2003,81.5051,78.27128,184789,185488
4,Arizona,AZ,2004,82.78866,77.95213,191396,191960
4,Arizona,AZ,2005,83.43481,77.26315,193715,194188
4,Arizona,AZ,2006,82.94254,77.55237,197640,199804
4,Arizona,AZ,2007,84.36514,78.33828,199695,202059
4,Arizona,AZ,2008,81.24321,77.01957,203411,205239
4,Arizona,AZ,2009,83.27469,76.29543,208646,210961
4,Arizona,AZ,2010,83.81792,77.60173,212315,214722
4,Arizona,AZ,2011,83.4238,78.85873,218141,219945
4,Arizona,AZ,2012,82.69704,77.00002,222065,222771
4,Arizona,AZ,2013,82.51024,77.18838,223397,226878
4,Arizona,AZ,2014,83.63538,78.19251,215350,218346
5,Arkansas,AR,2001,82.14928,73.9587,118430,110333
5,Arkansas,AR,2002,81.88497,74.8565,124473,114485
5,Arkansas,AR,2003,80.72282,75.3473,125977,115665
5,Arkansas,AR,2004,81.31454,76.67496,127250,115838
5,Arkansas,AR,2005,81.29133,75.73068,126559,114877
5,Arkansas,AR,2006,82.14442,76.33437,127356,116585
5,Arkansas,AR,2007,82.39294,77.17239,128550,116882
5,Arkansas,AR,2008,83.15564,75.6903,130022,117903
5,Arkansas,AR,2009,81.88758,75.69304,134496,122612
5,Arkansas,AR,2010,82.8938,77.26809,130057,117618
5,Arkansas,AR,2011,81.36659,75.63867,126296,113373
5,Arkansas,AR,2012,81.82065,75.6258,123967,110531
5,Arkansas,AR,2013,82.49914,75.52834,122707,112836
5,Arkansas,AR,2014,82.27879,76.96149,117872,109995
6,California,CA,2001,82.57644,78.29094,1149141,1205355
6,California,CA,2002,82.8993,78.31715,1179484,1229930
6,California,CA,2003,83.2094,78.59492,1217398,1253870
6,California,CA,2004,83.46304,79.15419,1239651,1269950
6,California,CA,2005,83.6213,78.7021,1242263,1267326
6,California,CA,2006,83.41341,78.77475,1255828,1277086
6,California,CA,2007,83.77586,79.3199,1255572,1275532
6,California,CA,2008,83.71352,78.57249,1263213,1283662
6,California,CA,2009,83.8057,78.41965,1285247,1300421
6,California,CA,2010,83.86773,79.14621,1296334,1306815
6,California,CA,2011,84.16534,78.93885,1314462,1317200
6,California,CA,2012,84.42407,78.62912,1315462,1318657
6,California,CA,2013,84.07532,79.43134,1314348,1317454
6,California,CA,2014,84.63593,79.9449,1256961,1251996
8,Colorado,CO,2001,81.80662,78.74896,125322,130324
8,Colorado,CO,2002,81.18138,77.99921,128188,132528
8,Colorado,CO,2003,81.23027,78.06876,130688,134361
8,Colorado,CO,2004,83.41264,77.95074,135682,139580
8,Colorado,CO,2005,82.21349,78.79541,138808,143521
8,Colorado,CO,2006,83.08247,79.20367,141121,145554
8,Colorado,CO,2007,84.73732,77.61118,142618,147206
8,Colorado,CO,2008,84.16685,78.31479,143755,148539
8,Colorado,CO,2009,81.56724,77.83092,143685,148731
8,Colorado,CO,2010,82.31412,78.2608,145783,150108
8,Colorado,CO,2011,83.84432,77.03878,146505,150521
8,Colorado,CO,2012,84.26284,78.92593,146168,151244
8,Colorado,CO,2013,83.44424,79.48575,148901,158043
8,Colorado,CO,2014,84.95831,78.67679,148951,155229
9,Connecticut,CT,2001,81.00541,77.22036,77691,75422
9,Connecticut,CT,2002,81.47903,77.65077,80440,76907
9,Connecticut,CT,2003,81.50296,75.68125,83311,79305
9,Connecticut,CT,2004,81.76117,76.86491,85004,81413
9,Connecticut,CT,2005,82.41025,75.70375,87096,83190
9,Connecticut,CT,2006,81.86682,76.83842,89724,85367
9,Connecticut,CT,2007,83.01804,78.06184,89814,86165
9,Connecticut,CT,2008,85.10582,76.81718,90824,87705
9,Connecticut,CT,2009,81.60503,77.25224,92122,88461
9,Connecticut,CT,2010,85.10667,76.66993,91758,88589
9,Connecticut,CT,2011,84.69417,77.25175,92758,89970
9,Connecticut,CT,2012,83.88989,78.33604,92846,90023
9,Connecticut,CT,2013,84.0577,76.91325,93770,91267
9,Connecticut,CT,2014,82.57329,78.6725,94034,90439
10,Delaware,DE,2001,76.5117,72.51113,23869,21447
10,Delaware,DE,2002,79.57748,74.55305,24929,22354
10,Delaware,DE,2003,83.66491,74.3476,25653,23158
10,Delaware,DE,2004,82.25559,76.36235,26552,23804
10,Delaware,DE,2005,80.75477,76.62387,26929,24167
10,Delaware,DE,2006,84.24783,74.49926,27619,24636
10,Delaware,DE,2007,85.80576,75.08536,28139,25287
10,Delaware,DE,2008,82.74936,76.32018,28765,25820
10,Delaware,DE,2009,80.85997,75.717,29142,26646
10,Delaware,DE,2010,84.08304,76.18544,29613,27122
10,Delaware,DE,2011,84.97503,76.42593,28867,27125
10,Delaware,DE,2012,82.4464,75.27734,29457,27357
10,Delaware,DE,2013,81.70454,74.01761,29574,28021
10,Delaware,DE,2014,81.84316,75.84614,29043,27901
11,District Of Columbia,DC,2001,79.82973,73.86716,22411,24627
11,District Of Columbia,DC,2002,82.2309,77.55003,23520,25390
11,District Of Columbia,DC,2003,80.89573,76.74902,23298,25466
11,District Of Columbia,DC,2004,80.52008,77.52183,22784,24456
11,District Of Columbia,DC,2005,80.0424,75.67167,22214,23821
11,District Of Columbia,DC,2006,82.34061,74.95013,21662,23424
11,District Of Columbia,DC,2007,80.86496,77.48341,21575,23139
11,District Of Columbia,DC,2008,81.31799,75.656,21041,23021
11,District Of Columbia,DC,2009,80.02351,76.0985,20357,22841
11,District Of Columbia,DC,2010,82.17424,76.5709,20224,22589
11,District Of Columbia,DC,2011,80.57962,75.94633,19018,21067
11,District Of Columbia,DC,2012,80.82781,76.35103,19653,21841
11,District Of Columbia,DC,2013,77.20242,77.92445,19303,21337
11,District Of Columbia,DC,2014,83.18943,78.54311,18486,20704
12,Florida,FL,2001,84.44164,78.48591,597648,556008
12,Florida,FL,2002,83.62371,76.67464,733614,704881
12,Florida,FL,2003,83.31635,76.9054,762211,733125
12,Florida,FL,2004,83.55695,77.44016,786472,754120
12,Florida,FL,2005,83.52575,76.99274,803597,770090
12,Florida,FL,2006,83.96279,76.759,816230,786050
12,Florida,FL,2007,84.03437,77.30461,824104,788220
12,Florida,FL,2008,84.0684,77.10628,838053,799229
12,Florida,FL,2009,83.22298,76.35571,861739,825046
12,Florida,FL,2010,83.36256,76.41924,881067,846517
12,Florida,FL,2011,83.36425,77.04932,893180,852713
12,Florida,FL,2012,83.05305,76.19318,930315,898603
12,Florida,FL,2013,82.01424,76.06623,945942,919193
12,Florida,FL,2014,83.39619,77.74422,890424,862049
13,Georgia,GA,2001,82.23626,74.33689,303107,264706
13,Georgia,GA,2002,82.40064,74.6796,321725,276875
13,Georgia,GA,2003,81.754,75.31655,331306,285485
13,Georgia,GA,2004,82.76345,74.79623,341827,293930
13,Georgia,GA,2005,83.15404,75.44529,350232,300483
13,Georgia,GA,2006,83.10658,76.70837,362789,310181
13,Georgia,GA,2007,84.06546,77.24554,379327,322398
13,Georgia,GA,2008,83.50159,76.9369,393708,333162
13,Georgia,GA,2009,81.95906,76.4598,410803,350235
13,Georgia,GA,2010,82.58279,76.05579,418325,358565
13,Georgia,GA,2011,83.18336,75.99139,424086,364836
13,Georgia,GA,2012,82.48092,75.73338,435016,381337
13,Georgia,GA,2013,82.60564,75.22467,435556,385996
13,Georgia,GA,2014,84.2674,76.42062,417261,364379
15,Hawaii,HI,2001,76.11235,76.98684,38796,39198
15,Hawaii,HI,2002,81.6133,74.31198,41487,41642
15,Hawaii,HI,2003,80.94781,76.914,43758,43022
15,Hawaii,HI,2004,81.22099,76.2254,43913,43636
15,Hawaii,HI,2005,80.68364,77.74703,44019,43136
15,Hawaii,HI,2006,82.79104,74.95932,45045,44580
15,Hawaii,HI,2007,85.0123,78.38662,44164,43880
15,Hawaii,HI,2008,84.30302,78.14537,44484,44650
15,Hawaii,HI,2009,81.94203,77.71749,44371,44895
15,Hawaii,HI,2010,83.03426,79.77776,44155,44482
15,Hawaii,HI,2011,86.13834,76.65212,43570,43341
15,Hawaii,HI,2012,83.08953,78.93091,44401,44042
15,Hawaii,HI,2013,84.79206,78.78018,44524,45452
15,Hawaii,HI,2014,82.05045,76.63305,43049,44860
16,Idaho,ID,2001,84.47348,76.29921,44373,44686
16,Idaho,ID,2002,83.39739,79.56617,45995,45901
16,Idaho,ID,2003,82.30836,79.66959,47549,46966
16,Idaho,ID,2004,82.93974,78.84032,48733,47942
16,Idaho,ID,2005,85.37843,78.74238,50285,48764
16,Idaho,ID,2006,85.45135,79.60455,50502,48965
16,Idaho,ID,2007,82.18258,79.42039,51043,49430
16,Idaho,ID,2008,83.97655,80.86925,51366,49634
16,Idaho,ID,2009,82.01839,76.11584,52804,50919
16,Idaho,ID,2010,83.32342,79.33432,53559,51829
16,Idaho,ID,2011,85.64711,78.97871,54062,52010
16,Idaho,ID,2012,86.74492,78.93938,53423,51215
16,Idaho,ID,2013,83.40749,76.31123,54206,53749
16,Idaho,ID,2014,84.26806,78.91494,52779,52461
17,Illinois,IL,2001,80.59797,76.03727,352320,327784
17,Illinois,IL,2002,82.21458,75.38833,366353,341057
17,Illinois,IL,2003,82.00762,75.7526,375076,350812
17,Illinois,IL,2004,82.31226,76.23336,381689,355310
17,Illinois,IL,2005,81.91595,76.00951,385536,356724
17,Illinois,IL,2006,83.1142,76.25206,391271,365078
17,Illinois,IL,2007,82.52055,77.23246,396230,370139
17,Illinois,IL,2008,82.1466,76.66365,400737,374279
17,Illinois,IL,2009,81.51757,76.23206,403544,377260
17,Illinois,IL,2010,83.07261,77.57384,405198,377217
17,Illinois,IL,2011,82.54626,77.38503,405190,376801
17,Illinois,IL,2012,82.2564,76.84039,404149,374543
17,Illinois,IL,2013,83.01298,76.57296,406906,380768
17,Illinois,IL,2014,82.82822,77.42847,397334,373977
18,Indiana,IN,2001,80.51034,73.88805,185252,161250
18,Indiana,IN,2002,80.69972,73.60955,193937,168699
18,Indiana,IN,2003,79.42455,73.35907,199111,174836
18,Indiana,IN,2004,81.52775,74.60027,201873,178383
18,Indiana,IN,2005,81.81674,74.2657,204777,180592
18,Indiana,IN,2006,81.21499,74.5919,206882,184077
18,Indiana,IN,2007,81.90688,75.2352,212007,190094
18,Indiana,IN,2008,82.05233,74.69377,217184,196576
18,Indiana,IN,2009,79.75068,73.99412,221764,201008
18,Indiana,IN,2010,80.91207,75.04176,223558,203600
18,Indiana,IN,2011,82.19015,74.64778,225100,207194
18,Indiana,IN,2012,81.75492,73.98985,223160,204007
18,Indiana,IN,2013,82.56382,75.73335,222790,205238
18,Indiana,IN,2014,81.86411,75.28271,215300,202268
19,Iowa,IA,2001,84.31624,78.15903,83409,81238
19,Iowa,IA,2002,83.77905,76.87928,86708,84363
19,Iowa,IA,2003,83.39068,76.57226,89015,86939
19,Iowa,IA,2004,83.39526,77.25296,89885,87952
19,Iowa,IA,2005,83.22521,76.82819,90041,87467
19,Iowa,IA,2006,83.60279,75.46292,89397,87892
19,Iowa,IA,2007,83.26717,77.35539,90370,89192
19,Iowa,IA,2008,82.34996,76.07861,91599,90609
19,Iowa,IA,2009,82.54037,75.50466,91407,90990
19,Iowa,IA,2010,83.10975,77.35233,89428,88096
19,Iowa,IA,2011,83.75201,76.19492,87850,86360
19,Iowa,IA,2012,81.04708,76.38948,85100,83234
19,Iowa,IA,2013,81.30598,75.5127,85865,85014
19,Iowa,IA,2014,81.69666,74.45336,82682,83154
20,Kansas,KS,2001,82.85701,75.12324,75611,73467
20,Kansas,KS,2002,80.46465,75.69733,79311,76811
20,Kansas,KS,2003,83.01144,74.78486,81060,77812
20,Kansas,KS,2004,82.8152,76.45084,83216,80196
20,Kansas,KS,2005,82.74973,76.86796,85127,81644
20,Kansas,KS,2006,82.25211,77.48836,85688,82601
20,Kansas,KS,2007,83.64291,77.15197,85792,83208
20,Kansas,KS,2008,81.23532,77.35002,85916,83638
20,Kansas,KS,2009,82.16756,73.72489,86454,84244
20,Kansas,KS,2010,79.89323,75.13931,86068,82670
20,Kansas,KS,2011,81.52262,74.10454,85086,81201
20,Kansas,KS,2012,82.46872,76.01854,83972,80057
20,Kansas,KS,2013,81.31926,77.30671,83846,81515
20,Kansas,KS,2014,82.74025,75.21059,83584,80131
21,Kentucky,KY,2001,83.13457,75.36331,158132,148798
21,Kentucky,KY,2002,82.09157,74.69218,164355,153544
21,Kentucky,KY,2003,80.90715,75.9908,165818,154535
21,Kentucky,KY,2004,81.91789,76.41096,166958,155450
21,Kentucky,KY,2005,81.64507,76.92687,168869,157648
21,Kentucky,KY,2006,82.5229,76.10645,170145,159345
21,Kentucky,KY,2007,83.4463,77.03764,172246,161850
21,Kentucky,KY,2008,82.4057,75.46789,174370,164773
21,Kentucky,KY,2009,81.44282,75.06286,183404,173050
21,Kentucky,KY,2010,82.08489,76.0229,174935,165748
21,Kentucky,KY,2011,82.47209,77.41146,170430,160716
21,Kentucky,KY,2012,82.23314,75.59911,168122,159530
21,Kentucky,KY,2013,82.41184,76.17749,167245,162759
21,Kentucky,KY,2014,82.44792,76.48476,161284,159972
22,Louisiana,LA,2001,81.01472,75.53025,202510,168721
22,Louisiana,LA,2002,83.14474,75.95227,211918,173193
22,Louisiana,LA,2003,82.94392,75.57039,215206,172641
22,Louisiana,LA,2004,82.97598,76.46214,217763,175045
22,Louisiana,LA,2005,82.47072,75.4488,218567,174641
22,Louisiana,LA,2006,82.75178,76.42221,215492,174364
22,Louisiana,LA,2007,83.23355,76.62238,212748,173667
22,Louisiana,LA,2008,83.3148,76.34602,213189,170424
22,Louisiana,LA,2009,81.70094,75.81255,210580,167840
22,Louisiana,LA,2010,83.16065,76.21281,204583,161655
22,Louisiana,LA,2011,84.77391,76.3448,200426,156888
22,Louisiana,LA,2012,82.16153,75.94476,199200,157063
22,Louisiana,LA,2013,82.51246,75.88276,203144,164497
22,Louisiana,LA,2014,83.38577,76.9136,195226,158097
23,Maine,ME,2001,80.43568,76.99002,51214,49134
23,Maine,ME,2002,80.65093,79.80501,53205,50331
23,Maine,ME,2003,81.71264,76.27917,54057,50592
23,Maine,ME,2004,81.95012,77.09052,54604,51003
23,Maine,ME,2005,84.5409,78.621,54881,51084
23,Maine,ME,2006,81.61246,79.32259,55242,51933
23,Maine,ME,2007,82.19237,77.41578,55818,52726
23,Maine,ME,2008,82.9756,76.75193,55976,53278
