cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
100,Johnson City,576081.0,47,Tennessee,TN,82.23678,75.96896,469268,446528
200,Morristown,227816.0,47,Tennessee,TN,81.76405,75.41985,233428,215500
301,Middlesborough,66708.0,47,Tennessee,TN,82.89065,76.09891,59222,59211
302,Knoxville,727600.0,47,Tennessee,TN,81.41161,75.08934,505662,466740
401,Winston-Salem,493180.0,37,North Carolina,NC,82.03275,75.91058,353513,316688
402,Martinsville,92753.0,51,Virginia,VA,83.1584,75.74322,89396,82853
500,Greensboro,1055133.0,37,North Carolina,NC,82.36854,76.11208,775588,695228
601,North Wilkesboro,90016.0,37,North Carolina,NC,83.71017,77.23505,79038,79581
602,Galax,64676.0,51,Virginia,VA,82.62592,77.78432,55199,56077
700,Spartanburg,354533.0,45,South Carolina,SC,82.25587,74.68555,276821,246079
800,Gastonia,413331.0,37,North Carolina,NC,81.25001,75.01979,320964,285392
900,Charlotte,1423942.0,37,North Carolina,NC,82.32784,76.23858,998780,884986
1001,Boone,77361.0,37,North Carolina,NC,83.41571,77.94613,54926,55970
1002,Morganton,164760.0,37,North Carolina,NC,82.07056,75.9605,125186,122674
1100,Hickory,375363.0,37,North Carolina,NC,81.2917,75.39882,284972,267425
1201,Franklin,44861.0,37,North Carolina,NC,83.80749,77.61839,42493,39144
1202,Sylva,54082.0,37,North Carolina,NC,81.52957,75.51405,47630,44373
1203,Asheville,398505.0,37,North Carolina,NC,82.97842,77.27004,320236,293361
1204,Andrews,59681.0,37,North Carolina,NC,84.3624,77.36708,63122,56192
1301,Bennettsville,71586.0,45,South Carolina,SC,82.68379,75.02621,74059,60426
1302,Florence,548986.0,45,South Carolina,SC,82.85237,75.93496,584868,472395
1400,Fayetteville,644101.0,37,North Carolina,NC,82.08025,75.91001,518038,415872
1500,Wilmington,361559.0,37,North Carolina,NC,82.82255,76.08959,307223,252253
1600,Rocky Mount,216840.0,37,North Carolina,NC,83.21021,76.27249,191879,153926
1701,Raleigh,1412127.0,37,North Carolina,NC,82.53999,76.59348,817631,742356
1702,Henderson,62926.0,37,North Carolina,NC,83.29826,77.06528,62644,50008
1800,Goldsboro,222553.0,37,North Carolina,NC,82.33424,75.8088,176685,148961
1900,Jacksonville,536909.0,37,North Carolina,NC,82.30643,76.37349,391718,314456
2000,Virginia Beach,1119468.0,51,Virginia,VA,81.74796,75.55627,692607,537349
2100,Washington,124216.0,37,North Carolina,NC,82.96811,76.28431,118182,96766
2200,South Boston,158234.0,51,Virginia,VA,83.58822,76.44463,132391,116597
2300,Lynchburg,228616.0,51,Virginia,VA,82.52364,76.43114,161391,138784
2400,Richmond,1040192.0,51,Virginia,VA,81.72845,75.87219,610499,526973
2500,Newport News,570854.0,51,Virginia,VA,82.48958,75.55515,357941,275022
2600,Roanoke Rapids,139055.0,37,North Carolina,NC,84.12593,76.57037,135798,106119
2700,Gulfport,458674.0,28,Mississippi,MS,81.58818,75.20714,351504,303933
2800,Laurel,120505.0,28,Mississippi,MS,83.04118,76.84769,95866,79673
2900,Hattiesburg,157181.0,28,Mississippi,MS,82.31044,76.43566,134918,111502
3001,Kosciusko,41270.0,28,Mississippi,MS,83.80174,76.92078,42512,35255
3002,Yazoo City,39355.0,28,Mississippi,MS,81.99806,75.17057,34397,29480
3003,Jackson,546560.0,28,Mississippi,MS,82.70912,75.97562,427170,347874
3101,McComb,103602.0,28,Mississippi,MS,83.18161,76.26779,98687,80171
3102,Brookhaven,46424.0,28,Mississippi,MS,82.22664,75.30967,40383,33416
3201,Jena,25202.0,22,Louisiana,LA,81.26626,77.06947,20808,17535
3202,Natchez,69653.0,28,Mississippi,MS,81.91483,76.95503,66451,53391
3203,Vicksburg,84943.0,28,Mississippi,MS,82.06262,75.64977,70402,56622
3300,New Orleans,1381652.0,22,Louisiana,LA,82.45091,76.2933,967442,809325
3400,Houma,271365.0,22,Louisiana,LA,82.14898,75.82396,201436,167768
3500,Baton Rouge,806561.0,22,Louisiana,LA,82.58186,75.99966,594983,452194
3600,Alexandria,186516.0,22,Louisiana,LA,82.23242,76.08758,156653,130347
3700,Lake Charles,335960.0,22,Louisiana,LA,81.03912,75.49362,238648,189847
3800,Lafayette,548154.0,22,Louisiana,LA,82.51241,76.58369,425763,338553
3901,Monroe,253878.0,22,Louisiana,LA,81.65625,75.73515,214852,173929
4001,Magnolia,34162.0,5,Arkansas,AR,81.10002,74.22224,26378,21131
4002,Shreveport,499101.0,22,Louisiana,LA,81.9524,75.59414,401842,314732
4003,Ruston,74800.0,22,Louisiana,LA,80.45851,75.10506,51914,41167
4102,Pine Bluff,168122.0,5,Arkansas,AR,81.24519,76.23005,129456,105536
4103,El Dorado,89373.0,5,Arkansas,AR,80.39952,75.03399,71242,58163
4200,Little Rock,630854.0,5,Arkansas,AR,80.6972,75.3893,414285,374253
4301,Stuttgart,40542.0,5,Arkansas,AR,81.62849,75.72101,33220,29293
4302,Searcy,94324.0,5,Arkansas,AR,81.74,74.8258,76301,69676
