cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_v1_F,le_raceadj_v1_M,count_v1_F,count_v1_M
100,Johnson City,576081.0,47,Tennessee,TN,80.36387,72.5767,79746,72116
302,Knoxville,727600.0,47,Tennessee,TN,78.60867,71.9521,90205,81502
401,Winston-Salem,493180.0,37,North Carolina,NC,78.99728,73.87165,59670,53043
500,Greensboro,1055133.0,37,North Carolina,NC,79.11668,73.61203,126752,114813
700,Spartanburg,354533.0,45,South Carolina,SC,78.72483,71.95287,47309,42488
800,Gastonia,413331.0,37,North Carolina,NC,77.97285,72.26793,52156,43618
900,Charlotte,1423942.0,37,North Carolina,NC,79.84607,74.31202,172258,157291
1100,Hickory,375363.0,37,North Carolina,NC,78.3718,71.72704,44376,39119
1203,Asheville,398505.0,37,North Carolina,NC,81.09212,75.61365,57606,51343
1302,Florence,548986.0,45,South Carolina,SC,80.36089,74.09039,96919,80314
1400,Fayetteville,644101.0,37,North Carolina,NC,79.67654,74.07934,84927,66716
1500,Wilmington,361559.0,37,North Carolina,NC,81.11584,75.4291,54984,46281
1701,Raleigh,1412127.0,37,North Carolina,NC,80.4472,75.53119,146526,134234
1900,Jacksonville,536909.0,37,North Carolina,NC,80.97192,74.76173,65365,51057
2000,Virginia Beach,1119468.0,51,Virginia,VA,80.44223,73.9026,120543,96552
2400,Richmond,1040192.0,51,Virginia,VA,79.5107,73.69324,109507,99150
2500,Newport News,570854.0,51,Virginia,VA,81.54304,72.76788,61679,48567
2700,Gulfport,458674.0,28,Mississippi,MS,78.28435,73.95142,62725,55884
3003,Jackson,546560.0,28,Mississippi,MS,79.97723,74.77787,61762,53870
3300,New Orleans,1381652.0,22,Louisiana,LA,80.50745,74.58067,180253,166924
3400,Houma,271365.0,22,Louisiana,LA,81.38605,74.01361,37654,29076
3500,Baton Rouge,806561.0,22,Louisiana,LA,81.1725,74.34707,99116,81634
3700,Lake Charles,335960.0,22,Louisiana,LA,79.01497,72.67191,42505,33798
3800,Lafayette,548154.0,22,Louisiana,LA,80.58811,74.79081,73997,58152
3901,Monroe,253878.0,22,Louisiana,LA,78.36068,74.16315,34236,30468
4002,Shreveport,499101.0,22,Louisiana,LA,79.37548,73.75773,65739,55867
4200,Little Rock,630854.0,5,Arkansas,AR,77.99648,73.53198,74540,68250
5202,Memphis,1154338.0,47,Tennessee,TN,78.60735,73.68649,130157,127787
5600,Nashville,1246338.0,47,Tennessee,TN,79.03784,73.73762,143933,143811
5900,Clarksville,252059.0,47,Tennessee,TN,80.27596,72.85336,27348,22205
6000,Huntsville,519583.0,1,Alabama,AL,79.84606,72.78094,56767,51537
6100,Gadsden,304068.0,1,Alabama,AL,80.11591,72.1439,42132,36420
6401,Chattanooga,490863.0,47,Tennessee,TN,79.49132,73.4186,65511,55457
6600,Rome,418304.0,13,Georgia,GA,79.11911,73.33453,55524,49285
6700,Tampa,2395997.0,12,Florida,FL,80.61961,73.54243,349456,357926
6800,Lakeland,598228.0,12,Florida,FL,79.89846,73.81764,90847,89360
6900,Sarasota,763795.0,12,Florida,FL,81.43946,74.55284,110138,110501
7000,Miami,3955969.0,12,Florida,FL,84.34389,76.73462,672456,655957
7100,Port St. Lucie,1533306.0,12,Florida,FL,82.61092,75.69493,218978,214398
7200,Cape Coral,692265.0,12,Florida,FL,81.18873,75.84264,103705,109663
7300,Palm Bay,589177.0,12,Florida,FL,80.30026,73.80074,86545,83918
7400,Orlando,1697906.0,12,Florida,FL,81.55914,75.32057,249694,246459
7500,Deltona,563598.0,12,Florida,FL,80.77271,74.52137,98949,95778
7600,Jacksonville,1176696.0,12,Florida,FL,79.72002,72.923,157041,156684
7800,Ocala,377001.0,12,Florida,FL,80.25368,74.57827,69516,62507
7900,Gainesville,320199.0,12,Florida,FL,81.32606,75.60915,41358,43996
8100,Columbia,722201.0,45,South Carolina,SC,78.89815,74.14192,95281,87556
8202,Charleston,587297.0,45,South Carolina,SC,81.08789,74.64966,80756,70015
8300,Greenville,894291.0,45,South Carolina,SC,79.48938,73.00923,114018,102856
8401,Augusta,525842.0,13,Georgia,GA,80.39497,73.24562,68078,55329
8800,Savannah,434615.0,13,Georgia,GA,80.76408,75.1618,58361,50450
8900,Macon,386870.0,13,Georgia,GA,79.77869,73.64462,49493,40670
9100,Atlanta,3798017.0,13,Georgia,GA,81.61677,76.31963,447730,421072
9400,Gainesville,272150.0,13,Georgia,GA,80.9096,73.34666,37402,33283
9600,LaGrange,457299.0,13,Georgia,GA,79.3193,72.19622,62575,52441
9701,Columbus,303656.0,13,Georgia,GA,78.53978,74.05772,37344,31309
9900,Tallahassee,426634.0,12,Florida,FL,79.90979,74.66268,47594,50945
10700,Birmingham,1038182.0,1,Alabama,AL,79.90609,73.13731,116395,104385
10801,Tuscaloosa,261112.0,1,Alabama,AL,79.81776,73.87135,29261,25977
10900,Pensacola,623252.0,12,Florida,FL,80.04737,74.62796,84773,80683
11001,Mobile,599405.0,1,Alabama,AL,79.82469,73.67294,82404,72020
11101,Montgomery,367927.0,1,Alabama,AL,79.69117,73.29842,38716,35585
11302,Baltimore,2512431.0,24,Maryland,MD,80.04824,74.0747,245371,237022
11304,Washington DC,4632415.0,11,District of Columbia,DC,82.54867,77.22406,390141,385977
11500,Jackson,303839.0,26,Michigan,MI,77.90198,74.33621,33818,29673
11600,Detroit,5327827.0,26,Michigan,MI,78.42751,72.30579,635307,565117
11700,Lansing,447728.0,26,Michigan,MI,78.23949,72.50218,45381,41048
11900,Saginaw,540707.0,26,Michigan,MI,78.77969,72.28297,67101,57408
12100,Kalamazoo,509606.0,26,Michigan,MI,78.03529,72.84704,59110,53540
12200,Grand Rapids,1286045.0,26,Michigan,MI,79.19885,73.88739,132258,119386
12501,Dayton,1179009.0,39,Ohio,OH,78.07011,72.20331,115062,109953
12701,Cincinnati,1954800.0,39,Ohio,OH,77.50012,72.30388,187514,187621
12901,Lexington,525970.0,21,Kentucky,KY,79.45364,73.60309,58416,54093
13101,Louisville,1100767.0,21,Kentucky,KY,77.6965,72.34998,123515,122623
13400,Lima,260393.0,39,Ohio,OH,77.85897,71.70518,21850,20159
13501,Toledo,834343.0,39,Ohio,OH,78.35937,72.15768,83493,76521
13600,South Bend,657906.0,18,Indiana,IN,78.15588,73.06126,73697,65668
13700,Concord,372184.0,18,Indiana,IN,77.72919,72.903,37899,33859
14000,Muncie,415487.0,18,Indiana,IN,78.07839,72.0388,44740,40548
14100,Fort Wayne,557161.0,18,Indiana,IN,76.90705,73.48849,52631,48979
14200,Indianapolis,1507346.0,18,Indiana,IN,77.82165,72.32278,155105,145789
14400,Terre Haute,261832.0,18,Indiana,IN,76.71513,70.81827,28843,25705
14500,Lafayette,347966.0,18,Indiana,IN,77.37933,72.43745,32466,28227
14600,Bloomington,280923.0,18,Indiana,IN,78.65464,71.68925,27589,24276
14700,Evansville,388604.0,18,Indiana,IN,78.57167,71.84267,37798,33902
