cz,czname,pop2000,stateabbrv,year,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
302,Knoxville,727600.0,TN,2001,83.36636,76.58252,28071,26404
302,Knoxville,727600.0,TN,2002,81.59341,77.31999,29345,27378
302,Knoxville,727600.0,TN,2003,82.10624,76.784,30108,27808
302,Knoxville,727600.0,TN,2004,84.4222,75.07301,30264,27793
302,Knoxville,727600.0,TN,2005,83.74638,75.95202,30222,27933
302,Knoxville,727600.0,TN,2006,84.535,73.82327,30469,28003
302,Knoxville,727600.0,TN,2007,85.12611,74.36026,31061,28614
302,Knoxville,727600.0,TN,2008,84.34856,75.19799,31301,29018
302,Knoxville,727600.0,TN,2009,79.317,72.97475,32785,30708
302,Knoxville,727600.0,TN,2010,81.60028,75.44814,32284,30107
302,Knoxville,727600.0,TN,2011,80.37471,73.62259,31815,29804
302,Knoxville,727600.0,TN,2012,84.25277,73.77847,31105,29518
302,Knoxville,727600.0,TN,2013,80.77104,76.30955,30821,29910
302,Knoxville,727600.0,TN,2014,83.02575,75.95527,29912,28698
500,Greensboro,1055133.0,NC,2001,81.08435,74.55157,40600,37386
500,Greensboro,1055133.0,NC,2002,81.6255,75.40989,42896,39158
500,Greensboro,1055133.0,NC,2003,82.03659,76.79623,44776,40611
500,Greensboro,1055133.0,NC,2004,83.17944,75.35529,45375,41099
500,Greensboro,1055133.0,NC,2005,84.37244,77.62885,46533,41593
500,Greensboro,1055133.0,NC,2006,83.68871,76.08727,47662,42487
500,Greensboro,1055133.0,NC,2007,81.85549,77.57747,48742,43727
500,Greensboro,1055133.0,NC,2008,84.62008,76.68159,50129,44802
500,Greensboro,1055133.0,NC,2009,83.65483,75.70387,51253,45905
500,Greensboro,1055133.0,NC,2010,83.28492,75.8355,51078,45764
500,Greensboro,1055133.0,NC,2011,81.0285,75.91513,50957,45831
500,Greensboro,1055133.0,NC,2012,83.25342,76.84809,50333,45376
500,Greensboro,1055133.0,NC,2013,85.4078,75.91332,50333,46273
500,Greensboro,1055133.0,NC,2014,81.73837,78.62494,47906,44870
900,Charlotte,1423942.0,NC,2001,81.4684,74.45371,47615,43393
900,Charlotte,1423942.0,NC,2002,82.21534,75.83516,50930,45923
900,Charlotte,1423942.0,NC,2003,79.16722,74.59837,52968,47867
900,Charlotte,1423942.0,NC,2004,83.73079,75.37122,54797,49220
900,Charlotte,1423942.0,NC,2005,81.67855,77.48305,56583,50752
900,Charlotte,1423942.0,NC,2006,83.84843,77.25249,59715,53293
900,Charlotte,1423942.0,NC,2007,84.73059,75.23505,62250,55502
900,Charlotte,1423942.0,NC,2008,83.75874,76.26399,64750,57579
